Date,Region,Product,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Revenue,CTR,CPC,ROI
2023-01-01 00:00:00,North,Product C,Email,Q4,2410.89,4106,793,22,15214.74,0.1931,3.04,5.3108
2023-01-08 00:00:00,East,Product C,Search Engine,Q4,798.87,8338,296,21,7830.21,0.0355,2.7,8.8016
2023-01-15 00:00:00,North,Product D,Search Engine,Q2,3711.28,1309,202,24,16070.27,0.1543,18.37,3.3301
2023-01-22 00:00:00,North,Product B,Social Media,Q1,936.03,2055,377,36,5877.33,0.1835,2.48,5.279
2023-01-29 00:00:00,South,Product A,Search Engine,Q4,3314.53,9831,960,23,12804.25,0.0977,3.45,2.8631
2023-02-05 00:00:00,East,Product D,Search Engine,Q4,2157.18,3158,565,6,12393.81,0.1789,3.82,4.7454
2023-02-12 00:00:00,East,Product B,Email,Q1,4532.35,9961,452,4,1008.27,0.0454,10.03,-0.7775
2023-02-19 00:00:00,East,Product B,Social Media,Q3,2474.37,1576,157,21,17798.03,0.0996,15.76,6.193
2023-02-26 00:00:00,East,Product D,Email,Q1,2062.96,5067,800,7,16555.2,0.1579,2.58,7.025
2023-03-05 00:00:00,West,Product A,Email,Q3,2981.54,4023,926,18,18196.92,0.2302,3.22,5.1032
2023-03-12 00:00:00,West,Product C,Social Media,Q2,4756.4,3459,469,46,14724.5,0.1356,10.14,2.0957
2023-03-19 00:00:00,East,Product A,Email,Q3,1176.82,3294,342,11,9216.38,0.1038,3.44,6.8316
2023-03-26 00:00:00,North,Product B,Search Engine,Q1,658.38,3488,663,21,11489.96,0.1901,0.99,16.4519
2023-04-02 00:00:00,North,Product D,Search Engine,Q1,1467.26,5269,120,19,14600.4,0.0228,12.23,8.9508
2023-04-09 00:00:00,West,Product D,Social Media,Q3,1961.58,3155,319,12,1122.86,0.1011,6.15,-0.4276
2023-04-16 00:00:00,East,Product C,Direct Mail,Q3,2191.96,9477,898,42,18187.47,0.0948,2.44,7.2974
2023-04-23 00:00:00,South,Product C,Search Engine,Q2,2426.42,6635,822,14,12020.84,0.1239,2.95,3.9541
2023-04-30 00:00:00,West,Product B,Search Engine,Q2,3372.11,6859,702,29,8958.72,0.1023,4.8,1.6567
2023-05-07 00:00:00,East,Product D,Direct Mail,Q2,2947.59,6421,409,32,13245.18,0.0637,7.21,3.4936
2023-05-14 00:00:00,West,Product A,Search Engine,Q4,1233.05,6000,870,19,17779.58,0.145,1.42,13.4192
2023-05-21 00:00:00,South,Product B,Social Media,Q1,1719.2,5011,357,7,11587.55,0.0712,4.82,5.7401
2023-05-28 00:00:00,North,Product A,Search Engine,Q2,1358.97,8342,147,37,3523.57,0.0176,9.24,1.5928
